District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Manchester Local,10886372.5,Adams,94.8,57922.0,14.0,0.0,63.0,63.0,100.0,42.0,66.6,259.0,259.0,100.0,259.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,48.01,48.01,1.0,1.0,13.2,13.2,0.0,0.0,0.12,0.12,24.0,24.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692,0.84615384,0.03076923,0.0,0.0,0.0,1.0,0.0
Manchester Local,10886372.5,Summit,95.8,52632.0,10.0,0.0,80.0,79.0,98.8,50.0,62.0,433.0,433.0,100.0,433.0,100.0,0.0,0.0,1.0,1.0,4.0,3.07503611,0.0,0.0,2.0,1.53751805,0.0,0.0,4.5,3.45941562,0.0,0.0,0.0,0.0,0.0,0.0,62.92,48.370318,1.0,0.76875902,10.2,7.84134209,7.0,5.3813132,1.0,0.76875902,4.0,3.07503611,3.0,2.30627708,3.5,2.6906566,0.0,0.0,0.0,0.0,1.0,0.76875902,0.0,0.01204819,0.30120481,0.68674698,0.0,0.0,0.0,0.5,0.5,0.0
Akron City,308589847.59000003,Summit,95.1,65137.0,8.0,12.0,1411.0,1200.0,85.0,749.0,53.1,8010.0,7700.0,96.1,7590.0,94.8,0.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,40.5,1.89235376,45.5,2.12597769,2.0,0.09344956,22.6,1.05598012,4.0,0.18689913,925.5,43.2437879,72.0,3.36418447,284.0,13.2698387,322.45,15.0664067,9.0,0.42052306,52.0,2.42968878,52.0,2.42968878,56.0,2.61658792,15.0,0.70087176,1.0,0.04672478,33.0,1.54191788,0.0,0.05148095,0.55430183,0.39069111,0.00352609,0.0,0.09259259,0.81481481,0.09259259,0.0
Alliance City,33607819.61,Stark,94.6,56320.0,9.0,2.0,200.0,196.0,98.0,116.0,58.1,847.0,843.0,99.5,834.0,98.5,0.0,0.0,1.0,1.0,12.99,4.38142615,9.0,3.03563013,7.5,2.52969177,0.0,0.0,0.4,0.13491689,0.0,0.0,2.0,0.67458447,0.0,0.0,121.0,40.8123606,13.9,4.68836209,44.61,15.0466066,16.95,5.71710341,1.0,0.33729223,5.99,2.0203805,8.5,2.86698401,9.5,3.20427625,0.0,0.0,0.0,0.0,3.0,1.01187671,0.0,0.02955665,0.49261083,0.44827586,0.02955665,0.0,0.0,0.5,0.5,0.0
Ashland City,31063168.4,Ashland,94.5,55152.0,14.0,3.0,205.0,200.0,97.6,147.0,71.7,811.0,811.0,100.0,811.0,100.0,0.0,0.0,0.8,0.8,7.0,2.18261001,1.9,0.59242271,1.0,0.31180143,0.0,0.0,4.1,1.27838586,0.0,0.0,0.0,0.0,0.0,0.0,138.31,43.1252558,4.0,1.24720572,39.0,12.1602557,4.0,1.24720572,6.0,1.87080858,7.0,2.18261001,7.0,2.18261001,9.0,2.80621287,0.0,0.0,0.0,0.0,3.0,0.93540429,0.0,0.01449275,0.26086956,0.72463768,0.0,0.0,0.0,0.3,0.7,0.0
Ashtabula Area City,39764973.29,Ashtabula,94.8,54357.0,12.0,0.0,190.0,190.0,100.0,138.0,72.4,970.0,925.0,95.4,925.0,95.4,0.0,0.0,1.0,1.0,6.0,1.69381669,5.0,1.41151391,6.0,1.69381669,0.0,0.0,1.0,0.28230278,0.0,0.0,0.0,0.0,0.0,0.0,128.01,36.1375792,1.0,0.28230278,40.41,11.4078554,48.45,13.6775698,0.0,0.0,5.0,1.41151391,5.0,1.41151391,8.25,2.32899796,0.0,0.0,1.0,0.28230278,3.0,0.84690834,0.0,0.00497512,0.32338308,0.67164179,0.0,0.0,0.0,0.45454545,0.54545454,0.0
Athens City,31768058.39,Athens,93.4,64823.0,15.0,0.0,182.0,181.0,99.5,128.0,70.4,1014.0,1012.0,99.8,998.0,98.4,0.0,0.0,1.0,1.0,5.0,1.90517989,2.7,1.02879714,2.0,0.76207195,0.0,0.0,5.48,2.08807716,0.0,0.0,0.0,0.0,0.0,0.0,130.0,49.5346773,3.0,1.14310793,34.25,13.0504823,14.79,5.63552213,2.0,0.76207195,8.0,3.04828783,8.0,3.04828783,9.0,3.42932381,0.0,0.0,0.0,0.0,3.0,1.14310793,0.0,0.0,0.04419889,0.93922651,0.01657458,0.0,0.0,0.0,1.0,0.0
Barberton City,43194820.69,Summit,94.4,61179.0,12.0,1.0,243.0,240.0,98.8,169.0,69.5,1348.0,1348.0,100.0,1348.0,100.0,0.0,0.0,1.0,1.0,14.0,3.75094698,4.53,1.21369927,1.0,0.26792478,0.0,0.0,1.0,0.26792478,0.0,0.0,4.0,1.07169913,0.0,0.0,156.0,41.7962663,10.5,2.81321023,59.0,15.8075622,42.0,11.2528409,4.0,1.07169913,6.0,1.6075487,7.0,1.87547349,8.5,2.27736066,1.0,0.26792478,0.0,0.0,6.0,1.6075487,0.0,0.00921659,0.34562212,0.61290322,0.03225806,0.0,0.0,0.25,0.75,0.0
Bay Village City,31675527.65,Cuyahoga,95.7,75456.0,16.0,0.0,168.0,168.0,100.0,133.0,78.9,852.0,852.0,100.0,852.0,100.0,0.0,0.0,1.0,1.0,6.38,2.60357479,1.0,0.40808382,2.0,0.81616764,0.0,0.0,8.73,3.56257178,0.0,0.0,0.0,0.0,0.0,0.0,128.84,52.5775198,3.0,1.22425147,12.02,4.90516756,0.0,0.0,2.75,1.12223051,7.1,2.89739514,7.3,2.97901191,6.06,2.47298797,0.0,0.0,0.0,0.0,3.4,1.387485,0.0,0.0,0.08641975,0.91358024,0.0,0.0,0.0,0.0,1.0,0.0
Beachwood City,29830835.939999998,Cuyahoga,94.1,86477.0,15.0,2.0,128.0,128.0,100.0,105.0,82.0,748.0,745.0,99.6,745.0,99.6,0.0,0.0,1.0,1.0,8.0,5.64734086,2.0,1.41183521,3.0,2.11775282,8.93,6.30384424,8.0,5.64734086,0.3,0.21177528,1.0,0.7059176,0.0,0.0,87.13,61.5066012,5.0,3.52958804,20.11,14.1960031,36.97,26.0977739,3.0,2.11775282,3.7,2.61189515,6.47,4.56728692,4.0,2.82367043,1.0,0.7059176,0.0,0.0,4.8,3.38840452,0.0,0.00775193,0.08527131,0.90697674,0.0,0.0,0.0,0.0,0.8,0.2
Bedford City,46990972.47,Cuyahoga,96.7,66114.0,13.0,9.0,225.0,222.0,98.6,117.0,51.9,1149.0,1149.0,100.0,1149.0,100.0,0.0,0.0,1.0,0.83,10.0,3.11030909,2.0,0.62206181,5.0,1.55515454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.53,39.04371,6.0,1.86618545,63.82,19.8499926,13.67,4.25179253,0.0,0.0,7.0,2.17721636,13.0,4.04340182,10.0,3.11030909,1.85,0.57540718,0.0,0.0,4.12,1.28144734,0.0,0.039823,0.64601769,0.31415929,0.0,0.0,0.09090909,0.63636363,0.27272727,0.0
Bellaire Local,13214083.26,Belmont,94.2,60220.0,13.0,0.0,51.0,51.0,100.0,33.0,64.3,369.0,322.0,87.3,318.0,86.2,0.0,0.0,1.0,1.0,2.0,1.73292258,1.0,0.86646129,1.0,0.86646129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.04,30.3608036,0.0,0.0,13.0,11.2639967,11.0,9.53107419,1.0,0.86646129,3.0,2.59938387,4.0,3.46584516,17.0,14.7298419,0.0,0.0,0.0,0.0,1.0,0.86646129,0.0,0.07042253,0.22535211,0.70422535,0.0,0.0,0.0,0.0,0.0,1.0
Bellefontaine City,26148868.73,Logan,96.0,49119.0,15.0,9.0,191.0,190.0,99.5,133.0,69.5,671.0,671.0,100.0,671.0,100.0,0.0,0.0,1.0,1.0,5.4,2.28558547,4.0,1.69302627,2.0,0.84651313,0.0,0.0,7.0,2.96279598,0.0,0.0,1.0,0.42325656,1.0,0.42325656,145.51,61.5880633,2.06,0.87190853,29.56,12.5114641,2.0,0.84651313,2.5,1.05814142,8.0,3.38605255,7.0,2.96279598,9.0,3.80930912,0.0,0.0,0.0,0.0,2.0,0.84651313,0.0,0.0229885,0.45977011,0.51724137,0.0,0.0,0.11111111,0.44444444,0.44444444,0.0
Bellevue City,19456840.17,Huron,96.2,57741.0,17.0,0.0,113.0,113.0,100.0,68.0,59.7,549.0,548.0,99.8,548.0,99.8,0.0,0.0,1.0,1.0,7.0,3.62968166,1.0,0.51852595,0.0,0.0,0.0,0.0,2.0,1.0370519,0.0,0.0,0.0,0.0,0.0,0.0,80.65,41.819118,7.0,3.62968166,20.42,10.5882999,2.0,1.0370519,1.0,0.51852595,5.0,2.59262976,10.0,5.18525952,7.04,3.6504227,0.0,0.0,0.0,0.0,3.0,1.55557785,0.0,0.0,0.30578512,0.69421487,0.0,0.0,0.0,0.14285714,0.85714285,0.0
Belpre City,10751411.27,Washington,94.3,50763.0,13.0,0.0,57.0,57.0,100.0,37.0,64.9,427.0,427.0,100.0,427.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,1.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.62711864,0.37288135,0.0,0.0,0.0,0.5,0.25,0.25
Berea City,76379778.41,Cuyahoga,93.8,69678.0,17.0,2.0,392.0,379.0,96.7,338.0,86.2,2183.0,2182.0,100.0,2178.0,99.8,0.0,0.0,1.0,1.0,15.0,2.44615142,0.0,0.0,8.0,1.30461409,4.0,0.65230704,5.0,0.8153838,1.0,0.16307676,0.0,0.0,1.0,0.16307676,256.2,41.7802663,1.0,0.16307676,97.27,15.8624766,20.0,3.26153523,6.0,0.97846057,16.0,2.60922818,16.3,2.65815121,17.0,2.77230494,0.0,0.0,0.0,0.0,11.0,1.79384437,0.0,0.01061008,0.32625994,0.61007957,0.05305039,0.0,0.0,0.46666666,0.53333333,0.0
Bexley City,33245295.21,Franklin,94.2,75009.0,14.0,0.0,162.0,160.0,98.8,128.0,79.0,724.0,724.0,100.0,724.0,100.0,0.0,0.0,1.0,1.0,7.25,3.09305533,5.0,2.13314161,2.0,0.85325664,0.0,0.0,7.0,2.98639825,0.0,0.0,0.0,0.0,0.0,0.0,115.39,49.2286421,1.0,0.42662832,22.75,9.70579434,4.0,1.70651329,4.0,1.70651329,7.0,2.98639825,7.27,3.1015879,5.0,2.13314161,1.0,0.42662832,0.0,0.0,2.65,1.13056505,0.0,0.0,0.36196319,0.59509202,0.04294478,0.0,0.0,0.0,1.0,0.0
Bowling Green City School District,30476976.1,Wood,96.7,55767.0,11.0,2.0,192.0,192.0,100.0,119.0,62.1,844.0,838.0,99.3,838.0,99.3,0.0,0.0,1.0,1.0,8.0,2.76977257,1.0,0.34622157,3.0,1.03866471,0.0,0.0,2.75,0.95210932,0.0,0.0,0.0,0.0,0.0,0.0,138.62,47.9932343,0.0,0.0,37.84,13.1010242,0.0,0.0,1.0,0.34622157,10.0,3.46221572,7.88,2.72822599,6.0,2.07732943,1.0,0.34622157,0.0,0.0,5.0,1.73110786,0.0,0.0,0.16410256,0.81538461,0.02051282,0.0,0.0,0.14285714,0.85714285,0.0
Brecksville-Broadview Heights City,46759561.370000005,Cuyahoga,96.1,75200.0,12.0,55.0,217.0,217.0,100.0,179.0,82.4,1214.0,1209.0,99.6,1209.0,99.6,0.0,0.0,1.0,1.0,9.07,2.39131236,1.4,0.36911105,4.55,1.19961094,0.0,0.0,7.86,2.07229494,0.0,0.0,0.0,0.0,0.0,0.0,152.05,40.0880975,0.0,0.0,35.35,9.32005424,64.95,17.1241166,3.0,0.79095226,9.0,2.3728568,10.5,2.76833294,11.0,2.90015832,1.0,0.26365075,0.0,0.0,6.66,1.75591403,0.0,0.0,0.23076923,0.76495726,0.0042735,0.0,0.0,0.09090909,0.9090909,0.0
Brooklyn City,15887352.120000001,Cuyahoga,96.6,67155.0,14.0,0.0,83.0,82.0,98.8,63.0,75.6,324.0,322.0,99.4,322.0,99.4,0.0,0.0,1.0,1.0,4.0,3.24523684,1.75,1.41979111,2.0,1.62261842,0.0,0.0,1.0,0.81130921,0.0,0.0,0.0,0.0,0.0,0.0,58.75,47.6644161,0.0,0.0,15.04,12.2020905,9.51,7.71555059,1.0,0.81130921,3.0,2.43392763,3.0,2.43392763,2.0,1.62261842,1.0,0.81130921,0.0,0.0,0.0,0.0,0.0,0.0,0.49411764,0.48235294,0.02352941,0.0,0.0,1.0,0.0,0.0
Brunswick City,70924182.25,Medina,96.4,60839.0,13.0,9.0,395.0,394.0,99.7,278.0,70.5,1805.0,1803.0,99.9,1803.0,99.9,0.0,0.0,1.0,1.0,12.5,1.77907312,8.0,1.13860679,8.73,1.24250466,0.0,0.0,11.0,1.56558434,0.0,0.0,5.0,0.71162924,1.0,0.14232585,291.0,41.4168222,1.0,0.14232585,67.61,9.62265069,89.0,12.6670006,2.93,0.41701473,16.0,2.27721359,15.6,2.22028325,16.12,2.29429269,0.0,0.0,1.0,0.14232585,9.0,1.28093264,0.0,0.00495049,0.4950495,0.5,0.0,0.0,0.0,0.47058823,0.52941176,0.0
Bryan City,20976680.28,Williams,95.3,52983.0,14.0,1.0,141.0,141.0,100.0,102.0,72.0,683.0,667.0,97.7,659.0,96.5,0.0,0.0,1.0,1.0,7.0,3.5472654,0.0,0.0,1.0,0.5067522,0.0,0.0,3.21,1.62667456,0.0,0.0,1.0,0.5067522,0.0,0.0,84.4,42.7698857,1.0,0.5067522,38.83,19.6771879,49.42,25.0436937,2.0,1.0135044,6.0,3.0405132,5.0,2.533761,6.32,3.2026739,0.0,0.0,0.0,0.0,2.0,1.0135044,0.0,0.0,0.73282442,0.22900763,0.03816793,0.0,0.0,0.75,0.0,0.25
Bucyrus City,15118641.32,Crawford,93.7,47588.0,13.0,0.0,98.0,98.0,100.0,57.0,58.2,332.0,332.0,100.0,332.0,100.0,0.0,0.0,1.0,1.0,3.0,2.33802222,0.0,0.0,0.2,0.15586814,0.0,0.0,4.0,3.11736296,0.0,0.0,2.45,1.90938481,1.0,0.77934074,63.0,49.0984666,0.0,0.0,9.57,7.45829088,0.0,0.0,1.0,0.77934074,5.0,3.8967037,4.0,3.11736296,12.0,9.35208888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157,0.28421052,0.66315789,0.0,0.0,0.42857142,0.57142857,0.0,0.0
Cambridge City,22160750.509999998,Guernsey,94.6,50233.0,14.0,0.0,141.0,141.0,100.0,95.0,67.3,619.0,619.0,100.0,617.0,99.7,0.0,0.0,1.0,1.0,8.0,4.16596365,1.0,0.52074545,1.0,0.52074545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52074545,103.47,53.8815323,0.86,0.44784109,28.0,14.5808727,2.57,1.33831582,1.0,0.52074545,5.0,2.60372728,4.0,2.08298182,4.0,2.08298182,0.0,0.0,0.0,0.0,1.1,0.57282,0.0,0.02739726,0.6849315,0.28082191,0.00684931,0.0,0.0,0.5,0.16666666,0.33333333
Campbell City,14975424.73,Mahoning,94.7,54352.0,10.0,0.0,86.0,86.0,100.0,28.0,32.6,486.0,486.0,100.0,486.0,100.0,0.0,0.0,1.0,1.0,1.0,0.9074116,2.0,1.8148232,1.0,0.9074116,0.0,0.0,5.0,4.537058,0.0,0.0,0.5,0.4537058,1.0,0.9074116,54.7,49.6354145,2.0,1.8148232,21.98,19.9449069,18.0,16.3334088,0.0,0.0,2.0,1.8148232,3.0,2.7222348,3.0,2.7222348,0.0,0.0,0.0,0.0,2.0,1.8148232,0.0,0.03225806,0.6344086,0.33333333,0.0,0.0,0.0,1.0,0.0,0.0
Canton City,117388787.01,Stark,94.2,60370.0,14.0,2.0,604.0,595.0,98.5,413.0,68.5,2363.0,2328.0,98.5,2299.0,97.3,0.0,0.0,0.95,0.95,27.0,3.09627201,12.5,1.43345926,12.0,1.37612089,6.01,0.68920721,1.0,0.11467674,1.0,0.11467674,8.65,0.99195381,0.0,0.0,425.09,48.7479359,22.0,2.5228883,45.82,5.25448828,0.0,0.0,4.0,0.45870696,20.0,2.29353482,19.0,2.17885808,23.5,2.69490341,5.0,0.5733837,0.0,0.0,11.0,1.26144415,0.00316957,0.07606973,0.63708399,0.27892234,0.00475435,0.0,0.13636363,0.79545454,0.06818181,0.0
Celina City,32651055.08,Mercer,93.5,56017.0,15.0,0.0,194.0,193.0,99.5,140.0,72.4,982.0,952.0,96.9,939.0,95.6,0.0,0.0,1.0,1.0,6.0,2.26062912,2.0,0.75354304,1.0,0.37677152,0.0,0.0,2.74,1.03235396,0.0,0.0,0.0,0.0,3.86,1.45433806,134.38,50.6305569,7.45,2.80694782,38.17,14.3813689,5.81,2.18904253,2.0,0.75354304,5.5,2.07224336,6.0,2.26062912,6.0,2.26062912,0.0,0.0,0.0,0.0,4.99,1.88008988,0.0,0.01041666,0.55729166,0.43229166,0.0,0.0,0.0,0.125,0.875,0.0
Centerville City,96893237.04,Montgomery,96.7,65853.0,14.0,14.0,535.0,516.0,96.5,353.0,66.1,2194.0,2076.0,94.6,2076.0,94.6,0.0,0.0,1.0,0.93,23.0,2.92894968,14.8,1.88471545,9.0,1.14611074,2.57,0.32727829,17.0,2.16487585,0.0,0.0,3.0,0.38203691,0.0,0.0,345.58,44.0081057,24.0,3.05629532,95.78,12.1971652,50.0,6.36728192,9.0,1.14611074,23.07,2.93786388,20.7,2.63605471,24.43,3.11105394,3.0,0.38203691,0.0,0.0,13.0,1.6554933,0.0,0.0,0.10136452,0.8908382,0.00779727,0.0,0.0,0.04545454,0.95454545,0.0
Chillicothe City,29422533.759999998,Ross,95.0,57385.0,10.0,5.0,148.0,148.0,100.0,93.0,62.9,887.0,887.0,100.0,887.0,100.0,0.0,0.0,1.0,1.0,4.0,1.47582254,3.0,1.1068669,2.0,0.73791127,0.0,0.0,11.0,4.05851199,0.0,0.0,0.0,0.0,1.0,0.36895563,128.8,47.5214859,0.0,0.0,4.0,1.47582254,11.0,4.05851199,0.0,0.0,5.0,1.84477818,9.85,3.63421301,6.0,2.21373381,0.0,0.0,0.0,0.0,1.84,0.67887837,0.0,0.0,0.57228915,0.42771084,0.0,0.0,0.125,0.5,0.375,0.0
Cincinnati City,487463112.19000006,Hamilton,95.4,63609.0,14.0,19.0,2203.0,2186.0,99.2,1453.0,66.0,10262.0,8615.0,84.0,8452.0,82.4,0.0,0.0,0.98,0.93,30.2,0.87736171,22.0,0.63913767,87.15,2.53185672,20.0,0.58103424,13.0,0.37767226,2.0,0.05810342,19.52,0.56708942,16.0,0.46482739,1732.86,50.3425501,0.0,0.0,468.26,13.6037548,0.0,0.0,0.0,0.0,77.5,2.2515077,78.65,2.28491717,69.01,2.00485866,9.0,0.26146541,0.0,0.0,54.8,1.59203383,0.00092764,0.02922077,0.25974026,0.69387755,0.01623376,0.0,0.0,0.22619047,0.76190476,0.01190476
Circleville City,23635403.53,Pickaway,95.6,63387.0,12.0,19.0,128.0,128.0,100.0,72.0,56.2,589.0,586.0,99.5,586.0,99.5,0.0,0.0,1.0,1.0,7.0,3.34566853,1.0,0.47795264,2.0,0.95590529,0.0,0.0,6.0,2.86771588,0.0,0.0,0.0,0.0,0.0,0.0,93.5,44.6885725,2.0,0.95590529,24.64,11.7767532,0.0,0.0,1.0,0.47795264,3.0,1.43385794,4.0,1.91181059,5.0,2.38976323,0.0,0.0,0.0,0.0,2.0,0.95590529,0.0,0.0367647,0.61029411,0.35294117,0.0,0.0,0.0,0.71428571,0.28571428,0.0
Claymont City,21954703.8,Tuscarawas,94.4,51576.0,13.0,0.0,143.0,143.0,100.0,93.0,64.9,592.0,592.0,100.0,592.0,100.0,0.0,0.0,1.0,1.0,4.0,1.99087414,2.0,0.99543707,1.0,0.49771853,0.0,0.0,6.5,3.23517048,0.0,0.0,1.0,0.49771853,0.0,0.0,103.75,51.6382981,2.5,1.24429634,28.0,13.936119,1.0,0.49771853,1.0,0.49771853,4.0,1.99087414,5.0,2.48859267,5.0,2.48859267,0.0,0.0,0.0,0.0,3.0,1.4931556,0.0,0.00680272,0.1292517,0.86394557,0.0,0.0,0.0,0.0,1.0,0.0
Cleveland Municipal,652259963.12,Cuyahoga,91.7,65772.0,11.0,69.0,2826.0,2816.0,99.6,1995.0,70.6,15002.0,14232.0,94.9,13422.0,89.5,0.0,0.0,0.99,0.79,101.0,2.59313523,50.0,1.28373031,140.0,3.59444488,0.0,0.0,30.0,0.77023818,4.0,0.10269842,44.0,1.12968267,6.0,0.15404763,1922.0,49.3465933,49.0,1.2580557,716.61,18.3986796,137.0,3.51742106,29.0,0.74456358,106.0,2.72150826,71.0,1.82289704,47.0,1.20670649,23.0,0.59051594,0.0,0.0,88.0,2.25936535,0.00607805,0.12476007,0.49776071,0.36692258,0.00447856,0.0,0.21645021,0.71428571,0.03463203,0.03463203
Cleveland Heights-University Heights City,103112280.62,Cuyahoga,93.7,78060.0,11.0,22.0,397.0,396.0,99.7,300.0,75.4,2054.0,2047.0,99.7,2047.0,99.7,0.0,0.0,1.0,1.0,19.0,3.6652222,9.14,1.76316478,8.4,1.62041402,0.0,0.0,14.0,2.70069004,0.0,0.0,1.6,0.30865029,7.0,1.35034502,257.5,49.6734062,10.74,2.07181507,84.62,16.3237422,12.1,2.33416782,12.0,2.31487718,18.0,3.47231577,21.0,4.05103506,16.1,3.10579355,0.0,0.0,1.5,0.28935964,6.0,1.15743859,0.00232018,0.02784222,0.38515081,0.53596287,0.04872389,0.0,0.05882352,0.76470588,0.17647058,0.0
Columbus City School District,741732367.9000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneaut Area City,17880523.4,Ashtabula,93.6,52187.0,10.0,0.0,106.0,106.0,100.0,72.0,67.8,488.0,486.0,99.6,486.0,99.6,0.0,0.0,1.0,1.0,2.0,1.24244744,4.67,2.90111477,1.0,0.62122372,0.0,0.0,3.0,1.86367116,0.0,0.0,0.5,0.31061186,0.0,0.0,80.0,49.6978976,1.0,0.62122372,16.37,10.1694323,9.0,5.59101348,0.0,0.0,5.0,3.1061186,5.0,3.1061186,3.0,1.86367116,0.0,0.0,0.0,0.0,2.0,1.24244744,0.0,0.0,0.37719298,0.62280701,0.0,0.0,0.0,1.0,0.0,0.0
Coshocton City,16770015.57,Coshocton,95.4,55184.0,14.0,2.0,107.0,107.0,100.0,76.0,71.6,450.0,450.0,100.0,450.0,100.0,0.0,0.0,1.0,1.0,4.0,2.7085518,1.0,0.67713795,0.0,0.0,0.0,0.0,4.0,2.7085518,0.0,0.0,0.0,0.0,0.0,0.0,76.3,51.6656255,2.0,1.3542759,21.2,14.3553245,0.0,0.0,1.0,0.67713795,4.0,2.7085518,5.0,3.38568975,4.0,2.7085518,0.0,0.0,0.0,0.0,2.0,1.3542759,0.0,0.01785714,0.3125,0.66964285,0.0,0.0,0.0,1.0,0.0,0.0
Cuyahoga Falls City,49756540.510000005,Summit,93.0,55342.0,9.0,5.0,336.0,286.0,85.1,170.0,50.7,1586.0,1525.0,96.2,1512.0,95.3,0.0,0.0,0.8,0.8,10.0,2.12470865,0.0,0.0,6.0,1.27482519,0.0,0.0,3.0,0.63741259,0.0,0.0,0.0,0.0,1.0,0.21247086,224.83,47.7698246,10.0,2.12470865,67.89,14.424647,20.66,4.38964807,5.0,1.06235432,11.0,2.33717951,14.43,3.06595458,15.0,3.18706297,8.0,1.69976692,0.0,0.0,4.0,0.84988346,0.0,0.01183432,0.2781065,0.71005917,0.0,0.0,0.0,0.23076923,0.76923076,0.0
Dayton City,198898767.54000002,Montgomery,95.2,45035.0,14.0,14.0,1057.0,1043.0,98.7,563.0,53.3,3758.0,3541.0,94.2,3515.0,93.5,0.0,0.0,1.0,0.96,12.0,0.90055739,34.0,2.55157929,15.0,1.12569674,16.0,1.20074319,3.0,0.22513935,3.0,0.22513935,11.0,0.82551094,0.0,0.0,681.2,51.1216416,28.0,2.10130059,258.06,19.3664868,55.0,4.12755474,13.0,0.97560384,36.84,2.76471121,30.32,2.27540836,40.3,3.02437193,11.0,0.82551094,5.0,0.37523224,10.0,0.75046449,0.00765864,0.14332603,0.38621444,0.45295404,0.00984682,0.0,0.07407407,0.7037037,0.18518518,0.03703703
Deer Park Community City,14727889.65,Hamilton,94.6,61610.0,14.0,9.0,75.0,73.0,97.3,51.0,68.2,426.0,426.0,100.0,426.0,100.0,0.0,0.0,1.0,1.0,4.0,3.37838442,1.5,1.26689415,1.0,0.8445961,0.0,0.0,2.76,2.33108525,0.0,0.0,2.0,1.68919221,0.0,0.0,57.55,48.6065059,1.0,0.8445961,11.4,9.62839561,21.2376186,17.9372099,1.0,0.8445961,4.0,3.37838442,7.0,5.91217274,3.0,2.53378831,0.0,0.0,0.0,0.0,1.19,1.00506936,0.0,0.0,0.27160493,0.71604938,0.01234567,0.0,0.0,0.0,1.0,0.0
